Mon Nov 16 15:03:13 2020 Fold 0, Epoch 8, lr: 0.0000269, train loss: 0.31192, valid loss: 0.45678, Acc: 79.6296, AUC: 0.000000.
Mon Nov 16 15:05:51 2020 Fold 0, Epoch 9, lr: 0.0000259, train loss: 0.25337, valid loss: 0.45471, Acc: 81.3657, AUC: 0.000000.
Mon Nov 16 15:08:29 2020 Fold 0, Epoch 10, lr: 0.0000247, train loss: 0.21928, valid loss: 0.57636, Acc: 77.7199, AUC: 0.000000.
Mon Nov 16 15:11:08 2020 Fold 0, Epoch 11, lr: 0.0000234, train loss: 0.15400, valid loss: 0.50898, Acc: 80.4398, AUC: 0.000000.
Mon Nov 16 15:13:47 2020 Fold 0, Epoch 12, lr: 0.0000220, train loss: 0.13141, valid loss: 0.56508, Acc: 78.5880, AUC: 0.000000.
Mon Nov 16 15:16:26 2020 Fold 0, Epoch 13, lr: 0.0000206, train loss: 0.10879, valid loss: 0.56342, Acc: 81.4236, AUC: 0.000000.
Mon Nov 16 15:19:05 2020 Fold 0, Epoch 14, lr: 0.0000190, train loss: 0.08637, valid loss: 0.59023, Acc: 79.9769, AUC: 0.000000.
Mon Nov 16 15:21:45 2020 Fold 0, Epoch 15, lr: 0.0000174, train loss: 0.06839, valid loss: 0.56171, Acc: 79.9769, AUC: 0.000000.
Mon Nov 16 15:24:25 2020 Fold 0, Epoch 16, lr: 0.0000158, train loss: 0.05763, valid loss: 0.56678, Acc: 80.7870, AUC: 0.000000.
Mon Nov 16 15:27:04 2020 Fold 0, Epoch 17, lr: 0.0000142, train loss: 0.05822, valid loss: 0.61041, Acc: 80.4977, AUC: 0.000000.
Mon Nov 16 15:29:43 2020 Fold 0, Epoch 18, lr: 0.0000126, train loss: 0.04438, valid loss: 0.59715, Acc: 79.7454, AUC: 0.000000.
Mon Nov 16 15:32:21 2020 Fold 0, Epoch 19, lr: 0.0000110, train loss: 0.03769, valid loss: 0.54464, Acc: 80.7870, AUC: 0.000000.
Mon Nov 16 15:35:00 2020 Fold 0, Epoch 20, lr: 0.0000094, train loss: 0.04079, valid loss: 0.64338, Acc: 79.5718, AUC: 0.000000.
Mon Nov 16 15:37:41 2020 Fold 0, Epoch 21, lr: 0.0000080, train loss: 0.03453, valid loss: 0.60239, Acc: 81.0764, AUC: 0.000000.
Mon Nov 16 15:40:20 2020 Fold 0, Epoch 22, lr: 0.0000066, train loss: 0.02740, valid loss: 0.61030, Acc: 79.2824, AUC: 0.000000.
Mon Nov 16 15:42:58 2020 Fold 0, Epoch 23, lr: 0.0000053, train loss: 0.02626, valid loss: 0.61791, Acc: 79.9190, AUC: 0.000000.
Mon Nov 16 15:45:37 2020 Fold 0, Epoch 24, lr: 0.0000041, train loss: 0.02295, valid loss: 0.58682, Acc: 80.2662, AUC: 0.000000.
Mon Nov 16 15:48:17 2020 Fold 0, Epoch 25, lr: 0.0000031, train loss: 0.02351, valid loss: 0.59312, Acc: 79.9769, AUC: 0.000000.
Mon Nov 16 15:50:56 2020 Fold 0, Epoch 26, lr: 0.0000021, train loss: 0.02186, valid loss: 0.68339, Acc: 80.4977, AUC: 0.000000.
Mon Nov 16 15:53:36 2020 Fold 0, Epoch 27, lr: 0.0000014, train loss: 0.01924, valid loss: 0.61691, Acc: 80.3241, AUC: 0.000000.
